CardID,CustomerID,CardNumber,CardType,CVV,ExpiryDate,Limit,Status
469,11,1674382095,MasterCard,691,12/29/2030,22016,Active
470,761,138967425,Visa,953,7/14/2027,37157,Blocked
471,103,1925863740,Visa,246,10/4/2025,22608,Active
472,188,8459210673,UzCard,781,9/6/2025,17359,Active
473,584,329476815,Amex,709,9/13/2030,31436,Blocked
474,360,496182375,MasterCard,139,3/20/2028,1794,Blocked
475,844,6253098174,Visa,901,9/24/2027,35700,Blocked
476,790,1438760295,Visa,584,9/15/2024,27082,Blocked
477,665,9364285701,Amex,716,12/16/2028,6921,Closed
478,874,134256798,Visa,348,7/19/2029,15977,Active
479,773,4219783065,Visa,845,1/24/2027,45500,Blocked
480,57,4659872301,MasterCard,324,4/13/2028,49646,Closed
481,858,5803764912,UzCard,712,8/2/2026,7982,Closed
482,973,9174862350,Visa,560,11/3/2023,13577,Closed
483,911,2143895607,UzCard,741,10/15/2024,25962,Active
484,912,5301649278,Amex,830,11/1/2029,2197,Blocked
485,525,3621948507,Visa,627,3/7/2028,25204,Blocked
486,847,8254169703,Amex,960,2/25/2023,14086,Active
487,788,8439125670,Visa,740,9/7/2023,18786,Blocked
488,909,5379268041,Visa,965,12/21/2024,42166,Closed
489,414,4367820591,Visa,816,7/15/2029,8005,Blocked
490,427,2490357618,Amex,462,7/16/2027,15765,Blocked
491,86,1630495872,Visa,375,4/21/2030,38211,Blocked
492,14,2048136597,Visa,463,1/21/2024,15046,Active
493,85,5830749621,UzCard,62,1/16/2025,26759,Closed
494,133,9740836521,UzCard,896,6/29/2027,26287,Blocked
495,432,8651309724,UzCard,254,9/29/2029,34212,Closed
496,448,6857140329,Visa,645,10/5/2030,34536,Active
497,289,4097358261,Amex,98,7/2/2026,6138,Active
498,587,1468735290,MasterCard,147,6/3/2025,21041,Closed
499,780,154367829,UzCard,916,10/25/2029,7325,Blocked
500,398,1825943607,Amex,789,6/7/2026,1890,Closed
